"lon","lat","species"
-70.38306,-3.7702,1
-69.944245,-4.215588,1
-80.7075,27.82333,1
-80.421667,27.469722,1
-80.33993,27.33246,1
-80.4217,27.4697,1
-70.159777,-3.997159,1
-70.382737,-3.773608,1
-75.7964,7.02624,1
-58.771553,-3.359996,1
-75.8174,7.00499,1
-75.8334,6.91688,1
-75.829,6.97041,1
-75.84543,6.8673,1
-74.611467,0.0448,1
-59.928333,-3.156111,1
-80.6811,25.7624,1
-70.366792,-3.781176,1
-60.214425,-3.313579,1
109.15,12.18,1
109.15,12.18,1
109.15,12.18,1
109.8,12.25,1
109.8,12.25,1
109.8,12.25,1
107.5,11.1,1
107.5,11.1,1
107.5,11.1,1
107.5,11.1,1
107.42,11.42,1
107.42,11.42,1
107.42,11.42,1
107.42,11.42,1
107.5,11.1,1
109.12,12.48,1
109.12,12.48,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.1,12.28,1
109.35,12.93,1
109.35,12.93,1
109.18,13,1
109.18,13,1
109.18,13,1
109.18,13,1
109.18,13,1
109.1,13.87,1
109.1,13.87,1
109.1,13.87,1
109.18,13,1
94.202583,26.746521,1
-14.794734,87.996477,1
-76.376789,-0.527552,1
90.38,23.73,1
108.5,12.8,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.3,12.6,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
108.7,12.4,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
107.92,12.6,1
108.5,12.8,1
108.5,12.8,1
108.43,12.8,1
108.43,12.8,1
108.43,12.8,1
109.1,12.25,1
109.1,12.25,1
107.9,11.33,1
108.32,11.62,1
108.32,11.62,1
108.32,11.62,1
108.32,11.62,1
-73.297004,-3.673258,1
-72.909535,-3.29897,1
-72.849832,-3.44345,1
-70.05299,-4.32612,1
-55.928333,-9.585833,1
-80.495,26.0325,1
-80.28555,25.66972,1
-99.1225,18.520833,1
-99.328055,18.642778,1
-99.368611,18.594444,1
-82.023461,27.487661,1
-80.165231,26.052027,1
-99.166111,18.480833,1
-80.413333,25.593333,1
-60.00147,-3.08394,1
-60.00925,-3.00142,1
-70.365193,-3.781238,1
-54.801944,-2.246111,1
-76.35,3.88,1
-76.35,3.88,1
106.8208,-6.3458,1
106.8208,-6.3458,1
106.8208,-6.3458,1
106.8208,-6.3458,1
106.8208,-6.3458,1
106.8208,-6.3458,1
-90.858333,16.803333,1
-90.864778,16.257555,1
-92.484111,18.364472,1
-92.473639,18.401278,1
-92.524086,18.127104,1
-92.599419,18.191521,1
-92.474722,18.403361,1
-92.608757,18.091484,1
-92.468055,18.404722,1
-92.490639,18.400889,1
-92.07735,18.095486,1
-92.478889,18.3825,1
-92.113785,18.147488,1
-92.093703,18.112742,1
-99.194722,18.640556,1
-92.489097,18.39955,1
-92.103219,18.116306,1
-99.191389,18.584722,1
-92.480675,18.388444,1
-92.608644,18.381528,1
-92.109154,18.126625,1
-92.484286,18.364583,1
-92.087955,18.105694,1
-92.112274,18.248991,1
-92.113783,18.147486,1
-92.484286,18.364586,1
-92.489167,18.399722,1
-92.478942,18.382494,1
-92.480675,18.388436,1
-92.081455,18.098189,1
-92.114639,18.148025,1
-92.478808,18.401347,1
-92.490722,18.401,1
-55.039806,-2.186083,1
-92.477639,18.403972,1
-92.5693,18.3784,1
-92.480972,18.388444,1
-92.692581,18.481899,1
-92.584722,18.37825,1
-99.191389,18.584722,1
-92.569139,18.378111,1
-92.5915,18.3456,1
-99.238889,18.555,1
-99.191389,18.584722,1
-92.584914,18.3785,1
-92.483028,18.40175,1
-92.584914,18.3785,1
-92.484055,18.364472,1
-91.377783,17.748833,1
-92.338669,18.230457,1
-99.189167,18.524444,1
-92.443336,18.111658,1
-92.382507,18.097879,1
-92.48251,18.401519,1
-92.363205,18.213957,1
-99.3775,18.701111,1
-92.220299,18.448425,1
-92.4891,18.3995,1
-92.078505,18.096328,1
-92.417274,18.211743,1
-92.477789,18.404139,1
-92.48251,18.401519,1
-92.414917,18.361313,1
-92.280548,18.120085,1
-92.477639,18.403972,1
-92.48251,18.401519,1
-92.09372,18.110387,1
-92.4735,18.4016,1
-92.444473,18.29574,1
-92.229874,18.413725,1
-92.11297,18.14661,1
-92.11297,18.14661,1
-92.481,18.388556,1
-92.279602,18.165876,1
-92.477789,18.404139,1
-92.229874,18.413725,1
-92.477789,18.404139,1
-92.08878,18.10703,1
-76.19,-6.55,1
-76.19,-6.55,1
-76.19,-6.55,1
-99.191389,18.584722,1
-80.33659,25.64183,1
-80.28936,25.78065,1
-80.3633,26.6846,1
-92.194015,18.519377,1
-81.8057,26.3393,1
-92.178108,18.529447,1
-60.247222,-3.396389,1
-76.53553,3.89438,1
-99.189167,18.524444,1
-99.194722,18.640556,1
-99.191389,18.584722,1
-99.238889,18.555,1
-99.333611,18.620278,1
-99.3775,18.701111,1
-55.07066,-2.101677,1
-55.07066,-2.101677,1
-55.11269,-2.113131,1
-55.11269,-2.113131,1
-55.11269,-2.113131,1
-54.72939,-1.974735,1
-54.73611,-1.980747,1
113.23,-8.13,1
113.23,-8.13,1
113.23,-8.13,1
-59.915472,-3.166028,1
-73.232898,-4.318923,1
-91.7175,17.691389,1
